productName;productSlug;productDescription;sku;price;currencyCode;optionGroups;optionValues
Circuit EVO2;circuit-evo2;;SC0-0616-A01-020-XS;10500;EUR;Color|Size;Color:CIRCUIT EVO2 WHITE|Size:XS
Circuit EVO2;circuit-evo2;;SC0-0616-A01-020-XXL;10500;EUR;Color|Size;Color:CIRCUIT EVO2 WHITE|Size:XXL
Circuit EVO2;circuit-evo2;;SC0-0616-A01-099-L;10500;EUR;Color|Size;Color:CIRCUIT EVO2 FLUO YELLOW|Size:L
Circuit EVO2;circuit-evo2;;SC0-0616-A01-099-M;10500;EUR;Color|Size;Color:CIRCUIT EVO2 FLUO YELLOW|Size:M
Circuit EVO2;circuit-evo2;;SC0-0616-A01-099-S;10500;EUR;Color|Size;Color:CIRCUIT EVO2 FLUO YELLOW|Size:S
Circuit EVO2;circuit-evo2;;SC0-0616-A01-099-XL;10500;EUR;Color|Size;Color:CIRCUIT EVO2 FLUO YELLOW|Size:XL
Circuit EVO2;circuit-evo2;;SC0-0616-A01-099-XS;10500;EUR;Color|Size;Color:CIRCUIT EVO2 FLUO YELLOW|Size:XS
Circuit EVO2;circuit-evo2;;SC0-0616-A01-099-XXL;10500;EUR;Color|Size;Color:CIRCUIT EVO2 FLUO YELLOW|Size:XXL
Circuit EVO2;circuit-evo2;;SC0-0616-A01-170-L;10500;EUR;Color|Size;Color:CIRCUIT EVO2 MATT BLACK|Size:L
Circuit EVO2;circuit-evo2;;SC0-0616-A01-170-M;10500;EUR;Color|Size;Color:CIRCUIT EVO2 MATT BLACK|Size:M
Circuit EVO2;circuit-evo2;;SC0-0616-A01-170-S;10500;EUR;Color|Size;Color:CIRCUIT EVO2 MATT BLACK|Size:S
Circuit EVO2;circuit-evo2;;SC0-0616-A01-170-XL;10500;EUR;Color|Size;Color:CIRCUIT EVO2 MATT BLACK|Size:XL
Circuit EVO2;circuit-evo2;;SC0-0616-A01-170-XS;10500;EUR;Color|Size;Color:CIRCUIT EVO2 MATT BLACK|Size:XS
Circuit EVO2;circuit-evo2;;SC0-0616-A01-170-XXL;10500;EUR;Color|Size;Color:CIRCUIT EVO2 MATT BLACK|Size:XXL
J-Rally Helmet;j-rally-helmet;;SC0-0801-B01-020-L;32900;EUR;Color|Size;Color:WHITE|Size:L
J-Rally Helmet;j-rally-helmet;;SC0-0801-B01-020-M;32900;EUR;Color|Size;Color:WHITE|Size:M
J-Rally Helmet;j-rally-helmet;;SC0-0801-B01-020-S;32900;EUR;Color|Size;Color:WHITE|Size:S
J-Rally Helmet;j-rally-helmet;;SC0-0801-B01-020-XL;32900;EUR;Color|Size;Color:WHITE|Size:XL
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-020-L;8500;EUR;Color|Size;Color:22.06 HELMET WHITE SIZE L|Size:L
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-020-M;8500;EUR;Color|Size;Color:22.06 HELMET WHITE SIZE M|Size:M
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-020-S;8500;EUR;Color|Size;Color:22.06 HELMET WHITE SIZE S|Size:S
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-020-XL;8500;EUR;Color|Size;Color:22.06 HELMET WHITE SIZE XL|Size:XL
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-020-XXL;8500;EUR;Color|Size;Color:22.06 HELMET WHITE SIZE XXL|Size:XXL
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-099-L;8500;EUR;Color|Size;Color:22.06 HELMET FLUO YELLOW SIZE L|Size:L
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-099-M;8500;EUR;Color|Size;Color:22.06 HELMET FLUO YELLOW SIZE M|Size:M
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-099-S;8500;EUR;Color|Size;Color:22.06 HELMET FLUO YELLOW SIZE S|Size:S
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-099-XL;8500;EUR;Color|Size;Color:22.06 HELMET FLUO YELLOW SIZE XL|Size:XL
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-099-XXL;8500;EUR;Color|Size;Color:22.06 HELMET FLUO YELLOW SIZE XXL|Size:XXL
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-170-L;8500;EUR;Color|Size;Color:22.06 HELMET MATT BLACK SIZE L|Size:L
STAR ECE 22.06 Helmet;star-ece-22-06-helmet;;SC0-0617-A01-170-M;8500;EUR;Color|Size;Color:22.06 HELMET MATT BLACK SIZE M|Size:M
